id,title,subtitle,price,price_gbp,price_freq,price_pcm_est,bedrooms,bathrooms,property_type,transaction_type,available,archived,address_display,latitude,longitude,phone,phone_digits,agency_company,agency_branch,agency_address,tags,features,photos_count,floorplans_count,description
150576419,"1 bedroom ground floor maisonette for rent in Balfour Grove, Whetstone, N20",1 bedroom ground floor maisonette,"£1,350 pcm",1350,pcm,1350,1,1,Ground Maisonette,RENT,True,False,"Balfour Grove, Whetstone",51.62294,-0.156118,020 3856 8624,02038568624,Hunters (Whetstone),Whetstone,"99 Russell Lane, London, N20 0BA",,"ONE BEDROOM GROUND FLOOR MAISONETTE · USE OF SHARED REAR GARDEN · MODERN KITCHEN · GAS CENTRAL HEATING · DOUBLE GLAZING · COUNCIL TAX BAND C:  	 £1,727.32 · AVAILABLE END OF SEPTEMBER",11,1,"*** AVAILABLE END OF SEPTEMBER *** · · This ground floor one bedroom maisonette offers generous accommodation in good decorative condition with direct access to the rear garden, which is shared with the 1st floor neighbour. · · The property benefits from gas central heating, modern laminate flooring and well proportioned bright rooms, and is situated in a quiet turning off Oakleigh Road North. The wide entrance hall has storage cupboards, the kitchen is big enough for a small table and chairs, and there's always the garden for Al Fresco summer dining."
151434506,"1 bedroom flat for rent in Dellow Close, Newbury Park, Ilford, Essex, IG2",1 bedroom flat,"£1,300 pcm",1300,pcm,1300,1,1,Flat,RENT,True,False,"Dellow Close, Newbury Park, Ilford, Essex, IG2",51.5717,0.08465,020 3834 8551,02038348551,Hills Estate LTD,Ilford,"209 - 211 Cranbrook Road, Ilford, IG1 4TD",,,5,0,"This stunning 1bedroom apartment is available for rent at an attractive price of £1300 per month. The property is perfect for those seeking modern living space and high-spec interiors. Boasting a spacious reception room, this apartment offers a comfortable and stylish lifestyle. Located within walking distance to the high street, you'll have easy access to a variety of local shops and amenities, making daily life convenient and enjoyable. The property fits in council tax band B, ensuring affordability and value for money. · · Convenience is at your doorstep with excellent transportation options. The property is close to all types of public transport. Additionally, the apartment is surrounded by popular primary and secondary schools, including Newbury Park Primary School. · · For leisure and entertainment, you'll find Ilford Retail Park and The Exchange Mall just a short distance away. Additionally, the property is within close reach of Valentines Park, providing a beautiful green space for relaxation. · · Don't miss out on this exceptional opportunity to live in a vibrant and prosperous area that caters to all your needs. This apartment is available now, so seize the chance to make it your new home. Enquire today and embrace the convenience and comfort that this property has to offer."
164246597,"1 bedroom flat for rent in Parkside, Waltham Cross, EN8",1 bedroom flat,"£1,100 pcm",1100,pcm,1100,1,1,Flat,RENT,True,False,"Parkside, Waltham Cross",51.683083,-0.031042,01992 781133,01992781133,Paul Wallace Estate Agents,Cheshunt,"The Brookfield Centre, Cheshunt, Hertfordshire, EN8 0NN",,One Bedroom Ground Floor Flat · Recently Re-Decorated · Lounge · Kitchen With Appliances · Walking Distance Of Train Station &amp; Town Centre · Allocated Parking · Deposit £1100.00.,5,0,"WALKING DISTANCE OF TRAIN STATION & TOWN CENTRE THIS RECENTLY RE-DECORATED one bedroom GROUND FLOOR flat with GAS CENTRAL HEATING TO RADIATORS, fitted kitchen with appliances, ATTRACTIVE BATHROOM, allocated parking, available immediately."
165472010,"1 bedroom flat for rent in Dudley Gardens, Harrow, HA2",1 bedroom flat,"£1,365 pcm",1365,pcm,1365,1,1,Flat,RENT,True,False,"Dudley Gardens, Harrow, HA2",51.571262,-0.348054,020 8103 5534,02081035534,Curtis And Parker Ltd,Hammersmith,"211 King Street, London, W6 9JT",,Large airy reception room · Modern kitchen with wooden worktops · Fully tiled bathroom with bath and shower · Medium sized bedroom with double bed · Plenty of natural lighting · Located a 10 minute walk away from South Harrow station · 15 minute walk away from Harrow-on-the-hill station · Situated in a peaceful cul-de-sac · Off-street parking · Double glazed windows,5,0,"***Single occupant only*** · · A well-maintained 1 bedroom flat situated in the homely South Harrow area. This first floor property boasts a spacious reception area with proportionately sized double bedroom (housing optimal amounts of built-in storage). The property further comprises a separate kitchen, separate bathroom and WC. · · The flat benefits from the peacefulness of its cul-de-sac location, while also remaining close to multiple restaurants, shops/ off-licences, bars and multiple train stations (mainly providing Piccadilly and Metropolitan services). · · Further benefits include double glazed windows and laminate flooring. · ·"
165969356,"1 bedroom flat for rent in Ladywell Water Tower, Brockley, SE4",1 bedroom flat,"£1,400 pcm",1400,pcm,1400,1,1,Flat,RENT,True,False,"Ladywell Water Tower, Brockley",51.453208,-0.025714,020 8690 8020,02086908020,Dexters,Lewisham,"228 Algernon Road, London, SE13 7AG",,First Floor Flat · One Double Bedroom · Open Plan Kitchen/Reception · Modern Bathroom · Communal Garden · Converted Water Tower,6,0,"A charming first floor flat in this converted water tower situated in a gated development. The flat comprises a large double bedroom, open plan kitchen / reception and a modern bathroom. The property also boasts a communal garden. · · Ladywell station is an 6-8-minute walk from where there are fast and frequent services into Charing Cross and Cannon St. In addition, Lewisham DLR is one stop away for easy access to Canary Wharf. · · Security Deposit: £1,673 · Council Tax Band: Not yet available · · Information contained within this listing is for guidance only and should be checked and confirmed (prior to proceeding). · ·"
166219124,"1 bedroom flat share for rent in Eton Road, Ilford, London, IG1",1 bedroom flat share,£800 pcm,800,pcm,800,1,1,Flat Share,RENT,True,False,"Eton Road, Ilford, London, IG1",51.55131,0.08389,020 4572 2354,02045722354,HOMEWORLD MANAGEMENT LTD,West London,"142 Bentworth Road, London, W12 7AH",,"Spacious &amp; Cosy Double Room · Comfortable Reception Area · Backyard Garden · Off-street Parking  · Fully Furnished · Bills Included(Partial) · Close to Local Amenities, Shops &amp; Transport Links · Available for Immediate Viewing",15,0,"Spacious & Cosy Double Room for Rent AT IG1 2UQ · · Key Features: · · Rent: £800 PCM · Deposit: Same as rent · Comfortable Reception Area · Backyard Garden · Off-street Parking · Fully Furnished · Wi-fi Available · Bills Included(Partial) · Close to Local Amenities, Shops & Transport Links · Peaceful Residential Area · Available for Immediate Viewing · Ready to Move In · · This well-presented property is now available in the sought-after IG1 2UQ · area. It offers excellent value. The location is quiet yet well-connected, with easy access to transport, shops, and other amenities. · · Contact us today to schedule a viewing and secure this great living space."
166224227,"1 bedroom apartment for rent in Cedarcroft Road - Chessington, KT9",1 bedroom apartment,"£1,350 pcm",1350,pcm,1350,1,1,Apartment,RENT,True,False,Cedarcroft Road - Chessington,51.37087,-0.297,020 3869 5617,02038695617,Countrywide UK Lettings,Kingston Upon Thames,"60-62 Old London Road, Kingston Upon Thames, KT2 6QA",,One bedroom annexe · Ground floor · Bills included · Lounge · Open plan kitchen · Gas central heating · Furnished · Available now · No access to garden · Pets considered,5,0,"** Zero Deposit Guarantee Available ** · This spacious one bedroom ground floor annexe, comprises a double bedroom with built in wardrobes. Open plan kitchen with appliances to lounge & a shower room. Bills are included within the rental price. Gas central heating, furnished. Available NOW. Council Tax Band: Holding Deposit: £311.00"
166225112,"1 bedroom flat for rent in Woodlands Road, Ilford, Essex, IG1",1 bedroom flat,"£1,300 pcm",1300,pcm,1300,1,1,Flat,RENT,True,False,"Woodlands Road, Ilford, Essex, IG1",51.557407,0.076341,020 3840 3429,02038403429,Maxwells Estates Limited,Islington,"85 Newington Green Road, London, N1 4QX",,Close to public transport · Double glazing · Fitted Kitchen · Shops and amenities nearby · Garden · Parking · No Deposit Option,7,0,"Maxwells Estates are pleased to offer this one double bedroom flat located close to Ilford Station.This property comes with driveway, Garden and separate lounge and kitchen. Quiet residential street, close to Exchange Shopping Centre & famous Ilford Lane. · · Features: · One double bedroom. · Garden. · Driveway · Ideal for couples."
166225256,"1 bedroom flat for rent in 1 Clarence Villas, Hawks Road, KT1",1 bedroom flat,"£1,252 pcm",1252,pcm,1252,1,1,Flat,RENT,True,False,"1 Clarence Villas, Hawks Road",51.408648,-0.292777,020 3984 8345,02039848345,UKmate LTD,London,"1 Poultry, London, EC2R 8EJ",,Student-friendly · Online contract signing · 1-minute deposit payment · No agent fees,9,1,"""Sophistication and Convenience in the Heart of Kingston"" · · Key Features: · 1. 10-minute walking distance to the Kingston city centre shopping complex, and 9 minutes to a cinema, bubble tea shop and escape room. · 2. Close proximity to Fairfield Park, perfect for morning jogs or bicycle rides. · 3. Convenient access to Kingston Knight's Park Campus, and Penrhyn Road Campus only 15 minutes on foot. · 4. Surrounded by supermarkets such as Lidl, Alrahman Grocery & Butcher Supermarket and Asda for all your daily needs. · 5. The property includes a garden that's perfect for BBQ parties, sunbathing, and exercising. · · Experience the perfect balance of sophistication and convenience at YOHO Kingston KP+PR Studio 4. This fully furnished studio, located in one of London's most affluent residential areas - Kingston, offers a safe and tranquil living environment radiating prosperity, tranquillity, warmth, and a middle-class vibe. · · With amenities like washing machine, oven, fridge, microwave, dining table, chairs, hood, and wardrobe, the studio has everything you need for modern living. Just minutes away from Kingston University's Penrhyn Road and Hill campuses, it's great for students. Life here is one of leisure and convenience, with the Kingston city centre shopping complex, a cinema, bubble tea shop, and an escape room all within a 10-minute walk. · · For outdoor lovers, Fairfield Park is just a 7-minute stroll away, and if you fancy a BBQ party, some sunbathing or washing some laundry, then the studio's garden is just the place for you. · · And for your daily shopping, you're spoilt for choice with supermarkets like Lidl, Alrahman Grocery & Butcher Supermarket, and Asda. Sample the local cuisine with nearby restaurants like Atariya Foods Kingston and Norbiton kitchen. · · Rounded out with convenient access to the Kingston train station, YOHO Kingston KP+PR Studio 4 is an ideal choice for students and professionals alike. Experience comfortable British living in the heart of Kingston."
166225289,"1 bedroom flat for rent in Addison Gardens, KT5",1 bedroom flat,"£1,209 pcm",1209,pcm,1209,1,1,Flat,RENT,True,False,Addison Gardens,51.400372,-0.291985,020 3984 8345,02039848345,UKmate LTD,London,"1 Poultry, London, EC2R 8EJ",,Student-friendly · Online contract signing · 1-minute deposit payment · No agent fees,11,1,Upload by UKMate
