id,title,subtitle,price,price_gbp,price_freq,price_pcm_est,bedrooms,bathrooms,property_type,transaction_type,available,archived,address_display,latitude,longitude,phone,phone_digits,agency_company,agency_branch,agency_address,tags,features,photos_count,floorplans_count,description
164649116,"1 bedroom flat for rent in Westmount Road, London, SE9",1 bedroom flat,"£1,350 pcm",1350,pcm,1350,1,1,Flat,RENT,True,False,"Westmount Road, London, SE9",51.458435,0.060509,020 3909 6504,02039096504,Kinleigh Folkard & Hayward,Lee,"Station Approach, 1 Burnt Ash Hill, London, SE12 0AB",,One double bedroom · Reception room · Galley style kitchen · Second floor · Bathroom · Short walk to Eltham Station · Unfurnished · EPC - C,7,0,"This bright and spacious one bedroom flat is available to rent in Eltham, a short walk to Eltham rail station and nearby to Eltham High street. This is a great apartment for couples and professionals. · · This bright and spacious one bedroom flat is available to rent in Eltham, a short walk to Eltham rail station and nearby to Eltham High street. This is a great apartment for couples and professionals. · · This one bedroom flat on the second floor set back from the main road. The galley style kitchen with good size reception room. The double bedroom is at the back of the flat with the modern style bathroom with a shower over the bath. This property is offered unfurnished · · The local amenities are close by with a short walk to Eltham station. · · Call to arrange viewing. · ·"
164725007,"1 bedroom flat for rent in Thorpedale Road, London, N4",1 bedroom flat,"£1,399 pcm",1399,pcm,1399,1,1,Flat,RENT,True,False,"Thorpedale Road, London, N4",51.567394,-0.118034,020 3322 3265,02033223265,Techbeard Ltd,London,"20 Wenlock Road, London, N1 7GU",,No Agent Fees · Students Can Enquire · Property Reference Number: 2557441,6,0,"Property Reference: 2557441. · · Superb 1 Bed Flat – Stroud Green N4 Description: · 1 Bed Flat · Self-contained · Fully furnished · Newly painted · Fully fitted kitchen · En-Suite shower room · Washing machine · First floor · 2-person occupancy · Peaceful, quiet & tranquil residence · Lovely character building · Excellent local amenities · Excellent value for money · Fantastic amenities close by Transport Links: · Finsbury Park tube –10 min walk · Archway tube – 5-10 min walk · Crouch Hill rail – 5 min walk · Excellent bus routes Bills: Tenant pays all bills, utilities & council tax. · · Summary & Exclusions: · - Rent Amount: £1,399.00 per month (£322.85 per week) · - Deposit / Bond: £1,399.00 · - 1 Bedrooms · - 1 Bathrooms · - Property comes furnished · - Available to move in from 26 August 2025 · - Minimum tenancy term is 6 months · - Maximum number of tenants is 2 · - Students welcome to enquire · - Pets considered / by arrangement · - Smokers considered · - Family Friendly · - Bills not included · - No Parking Available · - No Garden Access · - EPC Rating: C · · If calling, please quote reference: 2557441 · · Fees: · You will not be charged any admin fees. · · · ** Contact today to book a viewing and have the landlord show you round! ** · Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week. ·"
165023327,"1 bedroom apartment for rent in South End, Croydon CR0",1 bedroom apartment,"£1,200 pcm",1200,pcm,1200,1,1,Apartment,RENT,True,False,"South End, Croydon CR0",51.36747,-0.09959,020 3835 6224,02038356224,Countrywide UK Lettings,Croydon,"22 Norfolk House, George Street, Croydon, CR0 1LG",,One Bedroom Apartment · High Spec Throughout · Available 4th September · Balcony · Bosch Kitchen · Ideal for East and South Croydon BR · Unfurnished · Close to Croydon Town Centre · Must See · Lift Access,7,0,"Bairstow eves are delighted to offer to the market this stunning one bedroom apartment to rent. Offered unfurnished, accommodation comprises lounge, open plan to stylish fitted Bosch kitchen, a good size double bedroom, a balcony and a beautiful bathroom. · · Situated in a superb location close to South Croydon’s Restaurant Quarter, Central Cross is just a short walk to both East Croydon and South Croydon Stations. Services to Clapham Junction (9 minutes), London Victoria (16 minutes) and London Bridge (17 minutes), make this development a safe and buzzing central hub for residents to enjoy. · · Central Cross residents will have access to the superb facilities at Green Dragon House, a fellow Inspired development, which includes a Private Residents Lounge, Skyline Roof Gardens (with Table Tennis, BBQs and sheltered seating) · · Croydon offers not only the usual array of high street chains but also a wide range of independent specialist shops. As well as easy access to the famous Purley Way and retail parks which offer an abundance of superstores including furniture, clothing and electronic goods. · · Croydon is also notable for its wide variety of restaurants and bars. Why not opt for one of the many historic pubs, or even a fashionable wine bar. If you are hungry you can choose from restaurants offering English, Spanish, Indian, Thai, Argentinean, Italian or Chinese food. · · Viewing is highly recommended. Available 4th September. · · Tenancy Length -Long term · Council Tax Band - C · EPC Rating - C Council Tax Band: C Holding Deposit: £265.00"
165118166,"2 bedroom maisonette for rent in Amberley Court, Sidcup, DA14",2 bedroom maisonette,"£1,400 pcm",1400,pcm,1400,2,1,Maisonette,RENT,True,False,"Amberley Court, Sidcup, DA14",51.41959,0.11774,01322 936121,01322936121,Countrywide UK Lettings,Swanley,1 Manse Parade London Road Swanley BR8 8DA,LET_AGREED,TWO BEDROOMS · SPACIOUS · GOOD LOCATION · PRIVATE GARDEN · GAS CENTRAL HEATING · AVAILABLE FROM 23RD AUGUST,8,0,"** Zero Deposit Guarantee Available ** · MANN are pleased to offer this two bedroom first floor maisonette with private garden! · The property offers spacious lounge, two bedrooms, kitchen and family bathroom. · · Externally there is a nice exclusive garden area with laid to lawn, the perfect place to chill out on a hot summer's day! · · Features and benefits include fully double glazed windows, gas fired central heating and carpeting throughout. There is also a shared parking area to the front where there are always spaces available. · · Local shops are conveniently within 5 minutes walking distance. · · Available from 25th August. Council Tax Band: Holding Deposit: £323.00"
165194771,"1 bedroom flat for rent in Kings Drive, Wembley Park, Wembley, HA9",1 bedroom flat,"£1,350 pcm",1350,pcm,1350,1,1,Flat,RENT,True,False,"Kings Drive, Wembley Park, Wembley, HA9",51.568722,-0.274791,020 3907 0624,02039070624,Foxtons,Wembley,"451-453 High Road, Wembley, HA9 7AF",,Great 1 bedroom 1st floor flat · Spacious reception room · Close to amenities and transport links · Peaceful residential area · Access to a well kept communal garden · Modern bathroom and kitchen,10,2,"LONG LET. Presented in good condition throughout, this bright 1 bedroom 1st floor flat features a good-sized reception, well proportioned bedroom, a bright fitted kitchen and access to a communal Garden. · · Carmel Court is ideally located moments from the green open spaces of Fryent Country Park. The amenities of Wembley Park and Wembley Park Station are within easy reach. · · Please use the reference CHPK2135992 when contacting Foxtons."
165369527,"1 bedroom flat for rent in Turnpike Lane, Sutton, SM1",1 bedroom flat,"£1,150 pcm",1150,pcm,1150,1,1,Flat,RENT,True,False,"Turnpike Lane, Sutton",51.36302,-0.18797,020 3869 5617,02038695617,Countrywide UK Lettings,Kingston Upon Thames,"60-62 Old London Road, Kingston Upon Thames, KT2 6QA",,Apartment · One double bedroom · Modern development · Allocated parking · Spacious lounge · Communal garden · Fitted kitchen with appliances · Close to Sutton mainline train station · Avaliable end of September · Unfurnished,7,0,"A great one double bedroom top floor purpose built flat situated in a quiet cul-de-sac. · · Comprising of good size reception room, large bedroom with built in wardrobe, electric heating, fitted kitchen with appliances, bathroom with shower over bath, communal gardens and allocated parking. · · Close proximity to Sutton mainline station and town centre. This property is available at the end of September on an unfurnished basis with viewings highly recommended. Council Tax Band: B Holding Deposit: £282.00"
165395408,"1 bedroom flat for rent in Church Road, Hendon, NW4",1 bedroom flat,"£1,300 pcm",1300,pcm,1300,1,1,Flat,RENT,True,False,"Church Road, Hendon, NW4",51.589763,-0.225675,020 3889 9120,02038899120,Roundtree Real Estate,London,"1 Sentinel Square, Brent Street, Hendon, London, NW4 2EL",,12 Month Tenancy ,5,0,"Well-presented one double bedroom apartment located in the heart of Hendon and featuring a spacious reception room, family bathroom and is and is located moments from Middlesex University, Brent Street shopping facilities, and Hendon Central Underground Station (Northern Line, Zone 3). Available immediately. · · General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. Measurements: These approximate room sizes are only intended as general · guidance. You must verify the dimensions carefully before ordering carpets or any built-in furniture. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalizing their offer to purchase. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER ROUNDTREE NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY."
165605453,"1 bedroom flat share for rent in Kirkstall House, Westminster, London, SW1, SW1V",1 bedroom flat share,"£1,000 pcm",1000,pcm,1000,1,1,Flat Share,RENT,True,False,"Kirkstall House, Westminster, London, SW1",51.489776,-0.147089,020 8106 5686,02081065686,Storeys,London,"77 Containerville, 1 Emma Street, London, E2 9FP",,All Bills Included · Sharing With Three Likeminded Individuals · Students Welcome · Fob Access · Newly Decorated · Furnished · Westminster · Victoria Station,17,1,"The Storey: Spacious sized room (Bills and high speed WI-FI included) located just a short walk away from Victoria Station. · · Please note this is a Flat Share so communal area such as kitchen and bathroom will be shared with three likeminded professionals. · · Offering a large room with solid wooden flooring, high ceilings and large, fully fitted modern kitchen equipped with appliances including dishwasher and a contemporary bathroom suite. · The room has a secure lock and new furnishings. · · Bills included. · · The Vibe: Located in the heart of Pimlico. A sought after location with boutique bars, shops and more on your doorstep. · · Excellent transport links such as Victoria station providing access throughout the City and beyond. · · Seals The Deal: · Spacious flat share, furnished to high standard, bills included, located in one of London's hotspots! A must see to appreciate detail! · · Additional Info · Holding Deposit : £265.38 ( 1 week ) · Deposit Payable : £1,326.92 ( 5 weeks ) · Minimum Term : 12 months with 6 month break · Council Tax Band: D · · Disclaimer · Every attempt has been made to ensure accuracy, however these property particulars are approximate and for illustrative purposes only. They have been prepared in good faith and they are not intended to constitute part of an offer of contract. We have not carried out a structural survey and the services, appliances and specific fittings have not been tested. All photographs, measurements, floor plans and distances referred to are given as a guide only and should not be relied upon. Deposit amount, term length and Council tax is given as a guide only and should be checked and confirmed before exchange of contracts. · ·"
165703103,"1 bedroom flat for rent in Mill Court, London, E10",1 bedroom flat,"£1,400 pcm",1400,pcm,1400,1,1,Flat,RENT,True,False,"Mill Court, London, E10",51.557472,-0.008565,020 3322 3265,02033223265,Techbeard Ltd,London,"20 Wenlock Road, London, N1 7GU",,No Agent Fees · Property Reference Number: 1317537,6,1,"Property Reference: 1317537. · · We are delighted to offer for rent this beautifully presented and superbly located 1 bedroom apartment within a popular secure gated development in the heart of Leyton. This property benefits from gated residents parking with allocated parking permit included, secure entry phone system, and well maintained communal garden access. The property is offered unfurnished.The apartment is ideally situated in central Leyton with an extensive array of amenities including shops, cafes, bars and restaurants. Leyton station (Central Line) is only 3-4 minutes walk, one stop away from Stratford and the Elizabeth Line. Westfield shopping centre & Queen Elizabeth Olympic Park are easily reachable, as are the canals and bars of Hackney Wick, and the popular pedestrianised Leyton Village which hosts a variety of independents: artisan bakery, wine bar, delicatessen, florist, great eateries & boutique shopping. · This property also benefits from great access to road links including the A12, A406 & M11. · Total floor area 27 sq. mAvailable to move in now.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! · Recorded video tour available in YouTube link provided. · · Summary · · Rent £1,400.00 per month (£323.08 per week) · Deposit / Bond is £1,400.00 · · Minimum tenancy is 12 months · · ***Maximum number of tenants is 2 - please note that this is a compact flat and will not be suitable for families with children. Please bear this in mind when requesting viewings to avoid wasted viewing slots.*** · · Summary & Exclusions: · - Rent Amount: £1,400.00 per month (£323.08 per week) · - Deposit / Bond: £1,400.00 · - 1 Bedrooms · - 1 Bathrooms · - Property comes unfurnished · - Available to move in from 26 August 2025 · - Minimum tenancy term is 12 months · - Maximum number of tenants is 2 · - No Students · - No Pets, sorry · - No Smokers · - Not Suitable for Families / Children · - Bills not included · - Property has parking · - Property has garden access · - EPC Rating: E · · If calling, please quote reference: 1317537 · · Fees: · You will not be charged any admin fees. · · · ** Contact today to book a viewing and have the landlord show you round! ** · Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week. ·"
165796064,"1 bedroom flat for rent in Portland Road, South Norwood, SE25",1 bedroom flat,"£1,250 pcm",1250,pcm,1250,1,,Flat,RENT,True,False,"Portland Road, South Norwood",51.395179,-0.067286,020 4538 7106,02045387106,Northwoods Residential,London,"5 High Street, London, SE25 6EP",,One bedroom First floor flat · Shower room · Gas central heating system · Fitted kitchen · Double glazing · Ideal for Station and bus routes · Easy access to local amenities,4,0,"Offered for rental is this ONE BEDROOM FIRST FLOOR UN FURNISHED FLAT, which has been recently redecorated and is ideally situated for Norwood Junction Mainline Railway / over ground station, bus routes and local amenities. Available now. · · Entrance - Stairs to first floor · · Reception Room - 4.65m x 3.35m (15'3 x 11'0 ) - Two double glazed windows to front. Radiator. · · Kitchen - 3.40m x 1.63m (11'2 x 5'4 ) - Double glazed window to rear. Range of wall and base units with work surfaces over. Fridge/freezer. Electric oven. Gas hob and extractor hood. Washing machine. Stainless steel single drainer sink unit. · · Bedroom - 3.48m x 2.95m (11'5 x 9'8 ) - Double glazed window to rear. Radiator. · · Showe Room - Frosted double glazed window to side. Double shower unit. Pedestal wash hand basin. Low level wc. Storage cupboard. · · Authority - London Borough of Croydon. Band B £ £1840.93 · ·"
