id,title,subtitle,price,price_gbp,price_freq,price_pcm_est,bedrooms,bathrooms,property_type,transaction_type,available,archived,address_display,latitude,longitude,phone,phone_digits,agency_company,agency_branch,agency_address,tags,features,photos_count,floorplans_count,description
165548660,"1 bedroom flat for rent in Carmel Court, Kings Drive, Wembley, HA9",1 bedroom flat,"£1,300 pcm",1300,pcm,1300,1,1,Flat,RENT,True,False,"Carmel Court, Kings Drive, Wembley",51.565834,-0.274749,020 3840 3367,02038403367,Daniels,Wembley,"438 High Road, Wembley, HA9 6AH",,ONE BEDROOM FLAT · RECENTLY REFURBISHED · PART FURNISHED · GROUND FLOOR · GREAT LOCATION · AVAILABLE 19TH AUGUST 2025,7,0,"Daniels are pleased to offer this one bedroom flat for rent on Kings Drive is conveniently located for Wembley Park Station, providing transport links into and out of the West End and Central London. Local shops and schools are also near by. The property is offered in good condition and is ready to move in to in August. · · 19TH August 2025, Part Furnished. · · Bedroom - · · Reception - · · Bathroom - · ·"
166204910,"1 bedroom flat for rent in Queens Road, Bromley, BR1",1 bedroom flat,"£1,350 pcm",1350,pcm,1350,1,1,Flat,RENT,True,False,"Queens Road, Bromley",51.40544,0.01773,020 3834 8753,02038348753,The Property Franchise Group,Beckenham,163 High Street Beckenham BR3 1AE,,Allocated Parking Space · Open Plan Kitchen/Living Room · Juliet Balcony · Close to both Bromley Stations · Next to Bromley Shopping Centre · One Bedroom,7,0,"A One Bedroom First Floor Flat ideally located next to Bromley Shopping Centre and both Bromley Train Stations. · · The spacious flat benefits from an allocated parking space, open plan kitchen, living room and bathroom. · · Offered unfurnished and available now"
165744050,"1 bedroom flat share for rent in YourTRIBE South Bermondsey, London, SE15",1 bedroom flat share,"£1,365 pcm",1365,pcm,1365,1,1,Flat Share,RENT,True,False,"YourTRIBE South Bermondsey, London, SE15",51.47969,-0.05388,020 8504 4500,02085044500,TRIBE STUDENT HOUSING LIMITED,London,"Kirkdale House, 7 Kirkdale Road, London, E11 1HP",,"On-site gym · Rooftop Terrace with city views · Private dining room, cinema room, karaoke/games lounge, gaming zone (PS5, Meta Quest 3) · 24/7 on-site team including night concierge · On-site laundry room  · Weekly or fortnightly cleaning: shared kitchens/studios regularly serviced · Active events calendar: movie nights, cooking classes, gym sessions, wellness workshops, karaoke/gaming events  · Ultrafast dual-band Wi Fi  · All-inclusive rent · Free coffee daily and breakfast twice weekly ",6,0,"Welcome to YourTRIBE South Bermondsey - an award-winning, design-led student community just minutes from vibrant Bermondsey, Old Kent Road, and excellent transport connections. · · Here, everything's included. Your rent covers all bills, ultrafast Wi-Fi at 250/100 Mbps, contents insurance, plus free coffee every morning and breakfast twice a week. · · Life at YourTRIBE means more than just a place to sleep. Rise above the city in our 14-floor building with a rooftop terrace offering sweeping skyline views. Cook up a feast in the private dining room, settle in for a film in the cinema, sing your heart out in the karaoke lounge, or get competitive in the gaming lounge with PS5 and Meta Quest 3. Unwind in relaxed communal areas, work up a sweat in the fully-equipped gym, or stretch out in the yoga and wellness room. We've also got on-site laundry and secure bike storage to make everyday life easier. · · Your safety and comfort come first. Our 24/7 on-site team, CCTV and secure key-fob entry give peace of mind, and we even take care of weekly or fortnightly kitchen cleans. · · Step outside and you're in the heart of SE15, surrounded by independent cafés, buzzing markets and creative spaces. With South Bermondsey and Surrey Quays stations nearby, you can be in central London or at your university campus in minutes. · · YourTRIBE South Bermondsey isn't just a room - it's a dynamic student experience that's secure, supportive, social and sustainable. Book today, because spaces don't last long."
166217918,"1 bedroom apartment for rent in Selwood House, Kemnal Road, Chislehurst, BR7",1 bedroom apartment,"£1,275 pcm",1275,pcm,1275,1,1,Apartment,RENT,True,False,"Selwood House, Kemnal Road, Chislehurst",51.418312,0.07496,020 3834 8287,02038348287,Hunters Property Group Ltd,Bromley & Chislehurst,219 High Street Bromley BR1 1NY,,ONE BEDROOM · GROUND FLOOR · CONVERSION FLAT · SELF CONTAINED · RESIDENTS PARKING · COMMUNAL GARDEN · CHISLEHURST STATION 1.2 MILES · EPC RATING E,9,1,"Available for rental is this one bed ground floor flat situated in a characterful historic building in one of Chislehurst's most desirable private roads. Forming part of this former sheltered housing scheme, the accommodation is basically appointed, but offers an affordable option for those seeking budget accommodation. The area is delightful with access to the nearby commons, high street, and ponds. Applications via Bromley's homeless scheme will be considered if sanctioned by Bromley Council's lettings team. · · A one bedroom period conversion flat in a delightful Victorian building in one of Chislehurst's highly desirable private roads. EPC Rating E. · · Bedroom · · . - Bathroom · · .. - Kitchen · ·"
166269809,"1 bedroom flat for rent in Knights Hill, West Norwood, London, SE27",1 bedroom flat,"£1,350 pcm",1350,pcm,1350,1,,Flat,RENT,True,False,"Knights Hill, West Norwood, London, SE27",51.43113,-0.10457,020 3834 8136,02038348136,The Property Franchise Group,West Norwood - Lettings,"493 Norwood Road, London, SE27 9DJ",LET_AGREED,,7,0,"Welcome to this charming and neutrally decorated one-bedroom flat, available to let. Ideally located with easy access to local amenities, excellent public transport links, schools, and lovely green spaces, this delightful home is perfect for families seeking the perfect blend of comfort and convenience. · · Step inside to discover a bright and welcoming separate reception room, offering plenty of space for relaxing or entertaining friends and loved ones. The flat also features a thoughtfully designed kitchen, where natural light pours in, making meal preparation a pleasure in this airy and inviting space. · · The bedroom provides a peaceful retreat, perfect for unwinding after a busy day. The modern bathroom includes a stylish free-standing bath, ideal for a long soak and a touch of luxury within your daily routine. · · With an EPC rating of D, you’ll enjoy a balance of comfort and efficiency in your new home. The council tax band A also offers affordable monthly costs, making this flat an attractive option. · · You’ll love living so close to essential amenities and being able to take evening strolls in local green spaces, or pop over to the nearby schools and public transport with ease. · · Don’t miss the opportunity to make this lovely flat your next home. Arrange a viewing today and see all that this wonderful property has to offer EPC rating: D."
166268003,"1 bedroom flat for rent in London Road, West Croydon, CR0",1 bedroom flat,"£1,000 pcm",1000,pcm,1000,1,1,Flat,RENT,True,False,"London Road, West Croydon",51.378898,-0.103744,020 4538 6293,02045386293,Marriott Vernon Limited,Croydon,Bank House 111 South End South Croydon CR0 1BJ,,,9,0,"Marriott Vernon present to the market this one bedroom first floor apartment, ideally located for transport links and local amenities. Features include a reception room, separate modern kitchen, modern bathroom, gas central heating, double glazing, and neutral decor. · · Accommodation comprises entrance hall, leading into the generous reception room with ample space for relaxing, entertaining and dining. The separate kitchen comprises a modern range of matching wall and base units with work surfaces incorporating inset sink unit, gas hob with overhead extractor and electric oven below, fridge, washing machine and dishwasher. There is a well sized double bedrooms, plus a modern bathroom. · · The property is ideally located within easy reach of West Croydon Train station which offers a direct route to London Bridge and offering other good links into Central London, with numerous regular bus routes. Locally there are ample supermarkets including Marks and spencer food hall and Lidl supermarket. · ·"
165945596,"1 bedroom apartment for rent in Queens Road, Buckhurst Hill, IG9",1 bedroom apartment,"£1,400 pcm",1400,pcm,1400,1,1,Apartment,RENT,True,False,"Queens Road, Buckhurst Hill",51.62535,0.042609,020 3840 3623,02038403623,William Rose,Woodford,475 High Road Woodford Green IG8 0XE,,One Bedroom Apartment · Modern · Roof Top Terrace · Close to local amenities · Close to Buckhurst Hill station (Central Line) · Natural light · Fully integrated Kitchen · Great location,14,1,"Nestled on the charming Queens Road in Buckhurst Hill, this modern one-bedroom apartment offers a delightful blend of comfort and convenience. The property features a decking area, perfect for relaxation or entertaining guests. · · Tucked away on the sought-after Queens Road in Buckhurst Hill, this stylish one-bedroom apartment perfectly combines modern living with everyday convenience. Thoughtfully designed and beautifully presented, it offers a welcoming atmosphere ideal for both relaxing and entertaining. · · The spacious reception room is light-filled and versatile—perfect for cosy evenings or hosting friends. The bedroom provides a calm, restful haven, while the sleek bathroom features contemporary fittings, blending style with functionality. · · A true highlight of this home is the charming roof terrace—a private outdoor escape with sweeping views over the local area. Whether you're enjoying your morning coffee, reading in the sun, or entertaining guests, it’s a space that adds real value to daily life. · · Location-wise, it doesn't get much better. You’re just moments from an array of local shops, cafés, and restaurants, with excellent transport links nearby. The close proximity to the station ensures effortless commutes into central London, making this a fantastic option for professionals and city lovers alike. · · Ideal for individuals or couples, this apartment is a superb opportunity to enjoy modern comfort in one of Buckhurst Hill’s most vibrant and well-connected neighbourhoods. · ·"
87269988,"1 bedroom maisonette for rent in Alexandra Road, CROYDON, CR0",1 bedroom maisonette,"£1,100 pcm",1100,pcm,1100,1,1,Maisonette,RENT,True,False,"Alexandra Road, CROYDON",51.38389,-0.08655,020 3907 3729,02039073729,Sequence (UK) Limited - Connells,Croydon - Lettings,"50 Lower Addiscombe Road, Croydon, CR0 6AA",LET_AGREED,Available Now · Spacious Lounge · Croydon Council Tax Band B · Double Bedroom · Ground Floor · Private Garden · Zero Deposit Option Available · High Ceilings · Modern Three Piece Bathroom · Own Private Entrance,6,1,"· SUMMARY · **ZERO DEPOSIT OPTION AVAILABLE & PRIVATE GARDEN ALERT* This period property with your own private entrance is being redecorated as we speak and available now to view... · · · DESCRIPTION · ***WE ARE OPEN FOR VIEWINGS, CALL TODAY*** Located on the popular Alexandra Road of Croydon, just a short walk to East Croydon Station, is this well presented ground floor one bedroom maisonette. Comprising of a spacious reception room, a separate kitchen/breakfast room, a good size double bedroom and a modern bathroom suite. Further benefiting from own front door and a private garden. · · Call Barnard Marcus East Croydon landlords sole letting agent. · · · · While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations. · · (1) MONEY LAUNDERING REGULATIONS – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy. · (2) These particulars do not constitute part or all of an offer or contract. · (3) The text, photographs and plans are for guidance only and are not necessarily comprehensive. · (4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy. · (5) You should make your own enquiries regarding the property in respect of things such as furnishings to be included/excluded and what facilities are/are not available. · (6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents."
166218413,"1 bedroom apartment for rent in Zero Deposit Option Available. Kidderminster Road, Croydon CR0 2UF, CR0",1 bedroom apartment,£900 pcm,900,pcm,900,1,1,Apartment,RENT,True,False,"Zero Deposit Option Available. Kidderminster Road, Croydon CR0 2UF",51.38229,-0.10401,020 3835 6224,02038356224,Countrywide UK Lettings,Croydon,"22 Norfolk House, George Street, Croydon, CR0 1LG",LET_AGREED,One Bedroom Conversion · Excellent Condition Throughout · Great Size · White Goods · Large Double Bedroom · First Floor · Garage · Close to regular Bus Services · Easy Access to West Croydon BR · Close to Local Shops,10,0,"Zero Deposit Option Available. Bairstow eves are delighted to offer to the market this very well presented first floor, one bedroom conversion flat. Offered unfurnished, accommodation comprises entrance hallway, spacious bright lounge, kitchen/breakfast room, modern fitted bathroom suite and there is off street parking. · · Benefits include gas central heating, parking to the rear, good decor throughout, excellent size and is located within walking distance of West Croydon shops and train station · · Croydon offers not only the usual array of high street chains but also a wide range of independent specialist shops. As well as easy access to the famous Purley Way and retail parks which offer an abundance of superstores including furniture, clothing and electronic goods. · · Croydon is also notable for its wide variety of restaurants and bars. Why not opt for one of the many historic pubs, or even a fashionable wine bar. If you are hungry you can choose from restaurants offering English, Spanish, Indian, Thai, Argentinean, Italian or Chinese food and the famous box park! · · Viewing is highly recommended. Available now! Council Tax Band: Holding Deposit: £0.00"
166265012,"1 bedroom flat for rent in Honey Close, Dagenham, RM10",1 bedroom flat,"£1,300 pcm",1300,pcm,1300,1,1,Flat,RENT,True,False,"Honey Close, Dagenham, RM10",51.541536,0.161467,020 3907 4392,02039074392,Smiths Residential Ltd,Barkingside,"964 Eastern Avenue, Ilford, IG2 7JD",,Ground floor one-bedroom flat · Spacious living room and separate kitchen · Double bedroom with ample space · Bathroom with three-piece suite · Allocated residents’ parking space,7,0,"This spacious one-bedroom ground floor flat is ideally located just minutes from Dagenham East Underground Station (District Line), offering excellent access into Central London. The property features a bright living room, separate fitted kitchen, bathroom and a generously sized double bedroom. Further benefits include allocated residents’ parking and well-maintained communal areas. · EPC Rating: E"
